ticker,title,result,outcome,resolution_month,liquidity_bucket,timepoint,target_ts,candle_end_ts,time_diff_seconds,implied_prob,matched,squared_error,absolute_error
KXNFLANYTD-25SEP21ATLCAR-ATLKPITTS8,Atlanta at Carolina: Anytime Touchdown Scorer: Kyle Pitts Sr.,no,0.0,2025-09,mid,last_preclose,1758487557,1758484800.0,2757.0,0.01,True,0.0001,0.01
KXNFLFIRSTTD-25SEP28BALKC-BALDHOPKINS10,Baltimore at Kansas City: First Touchdown Scorer: DeAndre Hopkins,no,0.0,2025-09,mid,last_preclose,1759156189,1759093200.0,62989.0,0.03,True,0.0009,0.03
KXSOUTHPARKMENTION-25SEP24-DKNG,What will any South Park character say during South Park Season 27 Episode 5 on September 24th?,no,0.0,2025-09,mid,last_preclose,1758771123,1758769200.0,1923.0,0.01,True,0.0001,0.01
KXTOP10BILLBOARDSPOTSSC-25-1,"How many spots on the Billboard Hot 100's top 10 will Sabrina Carpenter have by Sep 13, 2025?",no,0.0,2025-09,mid,last_preclose,1757428358,1757386800.0,41558.0,0.01,True,0.0001,0.01
KXVANCEMENTION-25SEP17-INVS,"What will JD Vance say during Visit to the Manufacturing Facility in Howell, Michigan on September 17th?",no,0.0,2025-09,mid,last_preclose,1758141149,1758128400.0,12749.0,0.7,True,0.48999999999999994,0.7
KXATPMATCH-25OCT02RINMED-RIN,Will Arthur Rinderknech win the Rinderknech vs Medjedovic match?,yes,1.0,2025-10,high,last_preclose,1759415479,1759413600.0,1879.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXBTCMAX125-1-26-AUG31-124999.99,When will Bitcoin hit $125k?,yes,1.0,2025-10,high,last_preclose,1759641951,1759640400.0,1551.0,0.97,True,0.0009000000000000016,0.030000000000000027
KXEPLGAME-25OCT26BOUNFO-BOU,Bournemouth vs Nottingham Winner?,yes,1.0,2025-10,high,last_preclose,1761494134,1761490800.0,3334.0,0.94,True,0.0036000000000000064,0.06000000000000005
KXMAMDANIMENTION-25OCT16-SHUT,What will Zohran Mamdani say during The Story with Martha MacCallum on October 15th?,no,0.0,2025-10,high,last_preclose,1760559021,1760558400.0,621.0,0.03,True,0.0009,0.03
KXMLBTOTAL-25OCT11CHCMIL-7,Chicago C vs Milwaukee (Game 5) Total Runs?,no,0.0,2025-10,high,last_preclose,1760237693,1760234400.0,3293.0,0.2,True,0.04000000000000001,0.2
KXNBASPREAD-25OCT24GSWPOR-GSW1,Golden State wins by over 1.5 Points?,no,0.0,2025-10,high,last_preclose,1761368187,1761364800.0,3387.0,0.08,True,0.0064,0.08
KXNCAAFGAME-25OCT04UNLVWYO-WYO,UNLV at Wyoming Winner?,no,0.0,2025-10,high,last_preclose,1759632301,1759629600.0,2701.0,0.03,True,0.0009,0.03
KXNCAAFSPREAD-25OCT11SCARLSU-LSU7,LSU wins by over 7.5 points?,yes,1.0,2025-10,high,last_preclose,1760242614,1760241600.0,1014.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXNFLGAME-25OCT20HOUSEA-HOU,Houston at Seattle Winner?,no,0.0,2025-10,high,last_preclose,1761024589,1761022800.0,1789.0,0.02,True,0.0004,0.02
KXNFLPASSYDS-25OCT20TBDET-TBBMAYFIELD6-175,Baker Mayfield records 175+ passing yards,yes,1.0,2025-10,high,last_preclose,1761014404,1761012000.0,2404.0,0.95,True,0.0025000000000000044,0.050000000000000044
KXNFLSPREAD-25OCT26NYJCIN-NYJ10,New York J wins by over 10.5 points?,no,0.0,2025-10,high,last_preclose,1761511071,1761508800.0,2271.0,0.01,True,0.0001,0.01
