prob_bin,market_count,avg_predicted_prob,actual_yes_rate,avg_squared_error
"(0.009000000000000001, 0.03]",152,0.011644736842105263,0.0,0.00015855263157894738
"(0.03, 0.24]",73,0.11424657534246575,0.0684931506849315,0.06218356164383562
"(0.24, 0.81]",73,0.5064383561643836,0.4246575342465753,0.2205438356164384
"(0.81, 0.99]",149,0.9730201342281879,0.9463087248322147,0.045863087248322144
