ticker,title,result,outcome,resolution_month,liquidity_bucket,timepoint,target_ts,candle_end_ts,time_diff_seconds,implied_prob,matched
KXFANATICSGAMESSECONDPLACE-FAN25-SRO,Will Seth Rollins win the Fanatics Games 2nd place?,no,0.0,2025-06,all,6h_before_close,1750668391,,,,False
KXFANATICSGAMESSECONDPLACE-FAN25-SRO,Will Seth Rollins win the Fanatics Games 2nd place?,no,0.0,2025-06,all,1h_before_close,1750686391,,,,False
KXFANATICSGAMESSECONDPLACE-FAN25-SRO,Will Seth Rollins win the Fanatics Games 2nd place?,no,0.0,2025-06,all,last_preclose,1750689991,,,,False
KXMLBGAME-25JUN02DETCWS-CWS,Detroit vs Chicago WS Winner?,no,0.0,2025-06,high,1d_before_close,1748830957,,,,False
KXMLBGAME-25JUN02DETCWS-CWS,Detroit vs Chicago WS Winner?,no,0.0,2025-06,high,6h_before_close,1748895757,1748894400.0,1357.0,0.32,True
KXMLBGAME-25JUN02DETCWS-CWS,Detroit vs Chicago WS Winner?,no,0.0,2025-06,high,1h_before_close,1748913757,1748912400.0,1357.0,0.02,True
KXMLBGAME-25JUN02DETCWS-CWS,Detroit vs Chicago WS Winner?,no,0.0,2025-06,high,last_preclose,1748917357,1748916000.0,1357.0,0.01,True
KXMLBGAME-25JUN12NYYKC-KC,New York Y vs Kansas City Winner?,no,0.0,2025-06,high,1d_before_close,1749696400,,,,False
KXMLBGAME-25JUN12NYYKC-KC,New York Y vs Kansas City Winner?,no,0.0,2025-06,high,6h_before_close,1749761200,1749762000.0,800.0,0.45,True
KXMLBGAME-25JUN12NYYKC-KC,New York Y vs Kansas City Winner?,no,0.0,2025-06,high,1h_before_close,1749779200,1749780000.0,800.0,0.52,True
KXMLBGAME-25JUN12NYYKC-KC,New York Y vs Kansas City Winner?,no,0.0,2025-06,high,last_preclose,1749782800,1749780000.0,2800.0,0.52,True
KXMLBGAME-25JUN14MIAWSH-WSH,Miami vs Washington Winner?,no,0.0,2025-06,high,1d_before_close,1749844834,,,,False
KXMLBGAME-25JUN14MIAWSH-WSH,Miami vs Washington Winner?,no,0.0,2025-06,high,6h_before_close,1749909634,1749909600.0,34.0,0.55,True
KXMLBGAME-25JUN14MIAWSH-WSH,Miami vs Washington Winner?,no,0.0,2025-06,high,1h_before_close,1749927634,1749927600.0,34.0,0.25,True
KXMLBGAME-25JUN14MIAWSH-WSH,Miami vs Washington Winner?,no,0.0,2025-06,high,last_preclose,1749931234,1749931200.0,34.0,0.01,True
KXUSOPEN-25-JSPA,Will the J.J. Spaun win the US Open Championship?,yes,1.0,2025-06,high,1d_before_close,1749946355,1749945600.0,755.0,0.19,True
KXUSOPEN-25-JSPA,Will the J.J. Spaun win the US Open Championship?,yes,1.0,2025-06,high,6h_before_close,1750011155,1750010400.0,755.0,0.19,True
KXUSOPEN-25-JSPA,Will the J.J. Spaun win the US Open Championship?,yes,1.0,2025-06,high,1h_before_close,1750029155,1750028400.0,755.0,0.12,True
KXUSOPEN-25-JSPA,Will the J.J. Spaun win the US Open Championship?,yes,1.0,2025-06,high,last_preclose,1750032755,1750032000.0,755.0,0.85,True
KXFOMENSINGLES-25-MF,Will the Marton Fucsovics win the French Open Women's Singles Championship?,no,0.0,2025-06,low,1d_before_close,1749322901,,,,False
KXFOMENSINGLES-25-MF,Will the Marton Fucsovics win the French Open Women's Singles Championship?,no,0.0,2025-06,low,6h_before_close,1749387701,,,,False
KXFOMENSINGLES-25-MF,Will the Marton Fucsovics win the French Open Women's Singles Championship?,no,0.0,2025-06,low,1h_before_close,1749405701,,,,False
KXFOMENSINGLES-25-MF,Will the Marton Fucsovics win the French Open Women's Singles Championship?,no,0.0,2025-06,low,last_preclose,1749409301,1748181600.0,1227701.0,0.01,True
KXFOWOMENSINGLES-25-LR,Will the Leyre Romero Gormaz win the French Open Women's Singles Championship?,no,0.0,2025-06,low,1d_before_close,1749226324,,,,False
KXFOWOMENSINGLES-25-LR,Will the Leyre Romero Gormaz win the French Open Women's Singles Championship?,no,0.0,2025-06,low,6h_before_close,1749291124,,,,False
KXFOWOMENSINGLES-25-LR,Will the Leyre Romero Gormaz win the French Open Women's Singles Championship?,no,0.0,2025-06,low,1h_before_close,1749309124,,,,False
KXFOWOMENSINGLES-25-LR,Will the Leyre Romero Gormaz win the French Open Women's Singles Championship?,no,0.0,2025-06,low,last_preclose,1749312724,1748448000.0,864724.0,0.01,True
KXMLSGAME-25JUN25CLBATL-ATL,Columbus vs Atlanta Winner?,no,0.0,2025-06,mid,1d_before_close,1750815637,1750806000.0,9637.0,0.19,True
KXMLSGAME-25JUN25CLBATL-ATL,Columbus vs Atlanta Winner?,no,0.0,2025-06,mid,6h_before_close,1750880437,1750881600.0,1163.0,0.22,True
KXMLSGAME-25JUN25CLBATL-ATL,Columbus vs Atlanta Winner?,no,0.0,2025-06,mid,1h_before_close,1750898437,1750899600.0,1163.0,0.04,True
KXMLSGAME-25JUN25CLBATL-ATL,Columbus vs Atlanta Winner?,no,0.0,2025-06,mid,last_preclose,1750902037,1750899600.0,2437.0,0.04,True
KXWTAMATCH-25JUN20FERYAS-YAS,Will Dayana Yastremska be a winner of the quarterfinal of WTA Nottingham?,yes,1.0,2025-06,mid,1d_before_close,1750334437,,,,False
KXWTAMATCH-25JUN20FERYAS-YAS,Will Dayana Yastremska be a winner of the quarterfinal of WTA Nottingham?,yes,1.0,2025-06,mid,6h_before_close,1750399237,1750399200.0,37.0,0.44,True
KXWTAMATCH-25JUN20FERYAS-YAS,Will Dayana Yastremska be a winner of the quarterfinal of WTA Nottingham?,yes,1.0,2025-06,mid,1h_before_close,1750417237,,,,False
KXWTAMATCH-25JUN20FERYAS-YAS,Will Dayana Yastremska be a winner of the quarterfinal of WTA Nottingham?,yes,1.0,2025-06,mid,last_preclose,1750420837,1750402800.0,18037.0,0.45,True
KXWMENSINGLES-25-LLA,Will the Pablo Llamas Ruiz win the 2025 Wimbledon?,no,0.0,2025-07,all,1d_before_close,1752344767,,,,False
KXWMENSINGLES-25-LLA,Will the Pablo Llamas Ruiz win the 2025 Wimbledon?,no,0.0,2025-07,all,6h_before_close,1752409567,,,,False
KXWMENSINGLES-25-LLA,Will the Pablo Llamas Ruiz win the 2025 Wimbledon?,no,0.0,2025-07,all,1h_before_close,1752427567,,,,False
KXWMENSINGLES-25-LLA,Will the Pablo Llamas Ruiz win the 2025 Wimbledon?,no,0.0,2025-07,all,last_preclose,1752431167,,,,False
KXWWOMENSINGLES-25-NB,Will the Nuria Brancaccio win the Wimbledon Women's Tennis?,no,0.0,2025-07,all,1d_before_close,1752251008,,,,False
KXWWOMENSINGLES-25-NB,Will the Nuria Brancaccio win the Wimbledon Women's Tennis?,no,0.0,2025-07,all,6h_before_close,1752315808,,,,False
KXWWOMENSINGLES-25-NB,Will the Nuria Brancaccio win the Wimbledon Women's Tennis?,no,0.0,2025-07,all,1h_before_close,1752333808,,,,False
KXWWOMENSINGLES-25-NB,Will the Nuria Brancaccio win the Wimbledon Women's Tennis?,no,0.0,2025-07,all,last_preclose,1752337408,,,,False
