timepoint,market_count,brier_score,mae,avg_implied_prob,actual_yes_rate
1d_before_close,166,0.18541084337349398,0.36301204819277105,0.40939759036144574,0.39759036144578314
6h_before_close,279,0.18226989247311828,0.37071684587813625,0.4435483870967742,0.4050179211469534
1h_before_close,295,0.09552,0.19037288135593222,0.42406779661016947,0.43050847457627117
last_preclose,447,0.06151409395973154,0.12568232662192394,0.42966442953020134,0.3959731543624161
