ticker,endpoint_type,success,candlestick_count,error
KXNBA3PT-26JAN19UTASAS-SASSCASTLE5-1,live,True,19,
KXNBAAST-25DEC20PORSAC-PORDAVDIJA8-8,historical,True,19,
KXNBAAST-25NOV23SASPHX-SASDFOXPG-6,historical,True,14,
KXNBAAST-26JAN04MEMLAL-LALLDONCIC77-9,historical,True,12,
KXNBAAST-26JAN06ORLWAS-WASCMCCOLLUM3-4,historical,True,23,
KXNBAAST-26JAN07MILGSW-GSWSCURRY30-8,historical,True,22,
KXNBAAST-26JAN15ATLPOR-ATLNALEXANDERWALKER7-2,live,True,14,
KXNBAAST-26JAN17CHAGSW-CHALBALL1-12,live,True,22,
KXNBAAST-26JAN27DETDEN-DETCCUNNINGHAM2-14,live,True,26,
KXNBABLK-26JAN25TOROKC-OKCSGILGEOUSALEXANDER2-2,live,True,18,
KXNBABLK-26JAN26MEMHOU-HOUASENGUN28-1,live,True,21,
KXNBAGAME-25MAY01NYKDET-DET,historical,True,44,
KXNBAGAME-25NOV01MINCHA-MIN,historical,True,58,
KXNBAGAME-25NOV17LACPHI-LAC,historical,True,58,
KXNBAGAME-25OCT31NYKCHI-CHI,historical,True,57,
KXNBAGAME-26JAN07LALSAS-LAL,historical,True,58,
KXNBAGAME-26JAN25SACDET-DET,live,True,58,
KXNBAPTS-25DEC01CLEIND-INDPSIAKAMPF-30,historical,True,9,
KXNBAPTS-25DEC18HOUNOP-NOPTMURPHY25-10,historical,True,19,
KXNBAPTS-25DEC18ORLDEN-ORLPBANCHERO5-35,historical,True,37,
KXNBAPTS-25DEC23NYKMIN-MINAEDWARDS5-25,historical,True,21,
KXNBAPTS-25DEC23TORMIA-MIABADEBAYO13-30,historical,True,19,
KXNBAPTS-25DEC26MIAATL-ATLJJOHNSON1-35,historical,True,19,
KXNBAPTS-25NOV26NYKCHA-NYKJBRUNSONPG-25,historical,True,17,
KXNBAPTS-26JAN03ATLTOR-ATLDDANIELS5-11,historical,True,17,
KXNBAPTS-26JAN11NYKPOR-NYKOANUNOBY8-20,live,True,19,
KXNBAPTS-26JAN13ATLLAL-LALLDONCIC77-25,live,True,20,
KXNBAPTS-26JAN14NYKSAC-SACDDEROZAN10-20,live,True,23,
KXNBAPTS-26JAN15PHXDET-DETCCUNNINGHAM2-25,live,True,21,
KXNBAPTS-26JAN19INDPHI-INDPSIAKAM43-30,live,True,21,
KXNBAPTS-26JAN19INDPHI-PHIVEDGECOMBE77-10,live,True,20,
KXNBAPTS-26JAN20LALDEN-LALLJAMES23-20,live,True,26,
KXNBAPTS-26JAN21DETNOP-NOPTMURPHY25-30,live,True,22,
KXNBAPTS-26JAN28ATLBOS-BOSJBROWN7-25,live,True,21,
KXNBAREB-25DEC03CHANYK-CHALBALLPG-2,historical,True,3,
KXNBAREB-25DEC18ORLDEN-ORLPBANCHERO5-4,historical,True,18,
KXNBAREB-25DEC26LACPOR-LACKLEONARD2-6,historical,True,21,
KXNBAREB-25DEC28GSWTOR-GSWDGREEN23-8,historical,True,9,
KXNBAREB-25NOV25ATLWAS-ATLJJOHNSONPF-10,historical,True,15,
KXNBAREB-25NOV28DALLAL-LALLDONCICPG-8,historical,True,20,
KXNBAREB-26JAN02SASIND-INDPSIAKAM43-10,historical,True,20,
KXNBAREB-26JAN04MINWAS-MINAEDWARDS5-4,historical,True,15,
KXNBAREB-26JAN06LALNOP-LALLDONCIC77-12,historical,True,21,
KXNBAREB-26JAN07LACNYK-LACIZUBAC40-16,historical,True,19,
KXNBAREB-26JAN07LACNYK-NYKOANUNOBY8-4,historical,True,20,
KXNBAREB-26JAN07TORCHA-CHAKKNUEPPEL7-6,historical,True,18,
KXNBAREB-26JAN10LACDET-LACIZUBAC40-12,live,True,17,
KXNBAREB-26JAN13CHIHOU-CHINVUCEVIC9-14,live,True,22,
KXNBAREB-26JAN15MILSAS-SASVWEMBANYAMA1-16,live,True,27,
KXNBAREB-26JAN22LALLAC-LACIZUBAC40-11,live,True,23,
KXNBAREB-26JAN24NYKPHI-NYKMBRIDGES25-2,live,True,11,
KXNBAREB-26JAN27NOPOKC-NOPZWILLIAMSON1-6,live,True,22,
KXNBAREB-26JAN28ORLMIA-ORLPBANCHERO5-8,live,True,19,
KXNBASPREAD-25DEC01PHXLAL-PHX1,historical,True,21,
KXNBASPREAD-25DEC03DETMIL-MIL6,historical,True,22,
KXNBASPREAD-25DEC18GSWPHX-PHX2,historical,True,38,
KXNBASPREAD-25DEC20BOSTOR-TOR5,historical,True,19,
KXNBASPREAD-25DEC28BOSPOR-BOS18,historical,True,22,
KXNBASPREAD-25NOV11DENSAC-SAC7,historical,True,28,
KXNBASPREAD-25NOV24PORMIL-MIL1,historical,True,22,
KXNBASPREAD-25OCT22NOPMEM-MEM7,historical,True,24,
KXNBASPREAD-25OCT24GSWPOR-GSW1,historical,True,27,
KXNBASPREAD-25OCT24SASNOP-SAS18,historical,True,24,
KXNBASPREAD-26JAN01HOUBKN-HOU16,historical,True,22,
KXNBASPREAD-26JAN07LALSAS-SAS13,historical,True,24,
KXNBASPREAD-26JAN18ORLMEM-MEM4,live,True,24,
KXNBASPREAD-26JAN20PHXPHI-PHI7,live,True,24,
KXNBASTL-26JAN19DALNYK-NYKMBRIDGES25-1,live,True,14,
KXNBASTL-26JAN19MILATL-ATLJJOHNSON1-1,live,True,12,
KXNBASTL-26JAN27SACNYK-SACDDEROZAN10-1,live,True,15,
KXNBATOTAL-25DEC03SASORL-221,historical,True,23,
KXNBATOTAL-25DEC06NOPBKN-211,historical,True,21,
KXNBATOTAL-25DEC15HOUDEN-221,historical,True,26,
KXNBATOTAL-25DEC23TORMIA-228,historical,True,25,
KXNBATOTAL-25NOV03SACDEN-242,historical,True,21,
KXNBATOTAL-25NOV24PORMIL-229,historical,True,18,
KXNBATOTAL-25OCT26MILCLE-240,historical,True,24,
KXNBATOTAL-26JAN09NYKPHX-227,live,True,29,
KXNBATOTAL-26JAN10SASBOS-229,live,True,22,
KXNBATOTAL-26JAN11SASMIN-232,live,True,21,
KXNBATOTAL-26JAN14DENDAL-226,live,True,21,
KXNBATOTAL-26JAN24LALDAL-242,live,True,26,
KXNBATOTAL-26JAN25TOROKC-237,live,True,25,
KXNCAAF-26-CHAR,historical,True,3391,
KXNCAAFACC-25-GT,historical,True,0,
KXNCAAFB12-25-BYU,historical,True,71,
KXNCAAFGAME-25NOV15MSSTMIZZ-MIZZ,historical,True,310,
KXNCAAFGAME-25NOV15USUUNLV-UNLV,historical,True,303,
KXNCAAFGAME-25NOV22NEVWYO-WYO,historical,True,265,
KXNCAAFGAME-25NOV29FSUFLA-FLA,historical,True,298,
KXNCAAFGAME-25OCT04UNLVWYO-WYO,historical,True,194,
KXNCAAFGAME-25SEP20USMLT-LT,historical,True,211,
KXNCAAFSPREAD-25NOV01PITTSTAN-PITT9,historical,True,39,
KXNCAAFSPREAD-25NOV01WVUHOU-HOU10,historical,True,55,
KXNCAAFSPREAD-25NOV01WVUHOU-HOU9,historical,True,40,
