gap_rule,market_count,brier_score,mae,eventual_yes_avg_prob,eventual_no_avg_prob
no_cap,447,0.06151409395973153,0.12568232662192394,0.8838418079096045,0.13192592592592595
within_168h,440,0.06245386363636364,0.12715909090909092,0.8832954545454546,0.13412878787878788
within_72h,436,0.06299311926605504,0.1279816513761468,0.8826857142857143,0.1351340996168582
within_24h,428,0.06270257009345793,0.12824766355140188,0.8820689655172415,0.13531496062992124
within_6h,410,0.06404634146341463,0.13009756097560976,0.8798235294117647,0.137125
within_1h,306,0.057518627450980395,0.11506535947712421,0.8799224806201551,0.11141242937853106
